Ｂｅｒｔ,,,8609,名詞,固有名詞,一般,*,*,*,Ｂｅｒｔ,バアト,バアト,0/3,*
ＶＩＴＳ,,,8609,名詞,固有名詞,一般,*,*,*,ＶＩＴＳ,ビッツ,ビッツ,0/3,*
ＶＩＴＳ二,,,8609,名詞,固有名詞,一般,*,*,*,ＶＩＴＳ二,ビッツツー,ビッツツー,4/5,*
ＢｅｒｔＶＩＴＳ,,,8609,名詞,固有名詞,一般,*,*,*,ＢｅｒｔＶＩＴＳ,バアトビッツ,バアトビッツ,4/6,*
担々麺,,,8609,名詞,固有名詞,一般,*,*,*,担々麺,タンタンメン,タンタンメン,3/6,*
猛者,,,8609,名詞,一般,*,*,*,*,猛者,モサ,モサ,1/2,*
為替,,,8609,名詞,一般,*,*,*,*,為替,カワセ,カワセ,0/3,*
山車,,,8609,名詞,一般,*,*,*,*,山車,ダシ,ダシ,0/2,*
竹刀,,,8609,名詞,一般,*,*,*,*,竹刀,シナイ,シナイ,0/3,*
硝子,,,8609,名詞,一般,*,*,*,*,硝子,ガラス,ガラス,0/3,*
海女,,,8609,名詞,一般,*,*,*,*,海女,アマ,アマ,1/2,*
砂利,,,8609,名詞,一般,*,*,*,*,砂利,ジャリ,ジャリ,0/2,*
生真面目,,,8609,名詞,一般,*,*,*,*,生真面目,キマジメ,キマジメ,2/4,*
何故,,,8609,副詞,一般,*,*,*,*,何故,ナゼ,ナゼ,1/2,*
